"AA4037","all","s,m,l,xl"," $16,80 "," $13,00 "," $12,95 "," $12,90 "
"AA4047","all","s,m,l,xl"," $15,20 "," $10,75 "," $10,60 "," $10,50 "
"AA4055","all","s,m,l,xl"," $14,35 "," $9,50 "," $8,50 "," $8,00 "
"AA4062","all","s,m,l,xl"," $27,80 "," $23,35 "," $23,30 "," $23,25 "
"AA4064","all","s,m,l,xl"," $16,80 "," $12,40 "," $11,40 "," $11,00 "
"AA4067","all","s,m,l,xl"," $20,20 "," $16,00 "," $15,95 "," $15,90 "
"AA4070","all","s,m,l,xl"," $17,85 "," $13,45 "," $13,00 "," $12,75 "
"AA4507   ","all"," s,m,l"," $22,65 "," $18,15 "," $18,00 "," $17,50 "
"AA4517","all","s,m,l,xl"," $20,75 "," $15,60 "," $15,55 "," $15,50 "
"AA4590","all","s,m,l,xl"," $27,80 "," $23,45 "," $23,25 "," $20,00 "
"AA4805","all","xxs,s,m,l,xl"," $16,60 "," $11,50 "," $11,30 "," $11,20 "
"AA4805","all","xxl"," $16,60 "," $11,50 "," $11,30 "," $11,20 "
"AA4807","all","s,m,l,xl"," $26,00 "," $21,70 "," $21,00 "," $20,75 "
"AA4822","all","s,m,l"," $22,65 "," $18,15 "," $18,10 "," $18,05 "
"AA4825","all","s,m,l,xl"," $17,60 "," $13,20 "," $13,00 "," $12,50 "
"AA4827","all","s,m,l,xl"," $17,20 "," $12,65 "," $12,50 "," $12,40 "
"AA4832","all","xs,s,m,l,xl"," $19,15 "," $14,80 "," $14,70 "," $14,60 "
"AA4832","all","xxl"," $19,15 "," $14,80 "," $14,70 "," $14,60 "
"AA4847","all","xxs,s,m,l,xl"," $20,10 "," $16,35 "," $16,25 "," $16,15 "
"AA4847","all","xxl"," $20,10 "," $16,35 "," $16,25 "," $16,15 "
"AA5011ae","all","s,m,l,xl"," $15,60 "," $10,00 "," $9,95 "," $9,90 "
"AA5011ae","all","s,m,l,xl"," $17,20 "," $11,75 "," $11,70 "," $11,65 "
"AA5060ae","all","s,m,l,xl"," $17,70 "," $12,15 "," $12,05 "," $11,95 "
"AA5106 ","all","s,m,l,xl"," $17,95 "," $12,75 "," $12,70 "," $12,65 "
"AA6005","all","xxs,s,m,l,xl"," $16,00 "," $11,00 "," $10,95 "," $10,90 "
"AA6005","all","xxl"," $16,00 "," $11,00 "," $10,95 "," $10,90 "
"AA6005","all","xxxl"," $17,45 "," $12,25 "," $12,15 "," $12,05 "
"AA6021","all","s,m,l,xl"," $15,15 "," $9,60 "," $9,55 "," $9,50 "
"AA6032","all","xxs,m,l,xl,xxl"," $16,40 "," $11,00 "," $10,95 "," $10,90 "
"AA6094","all","s,m,l,xl"," $17,70 "," $12,15 "," $12,10 "," $12,05 "
"AA6203","all","s,m,l,xl"," $41,60 "," $37,95 "," $37,85 "," $37,75 "
"AA6220","all","s,m,l,xl"," $22,80 "," $18,60 "," $18,55 "," $18,50 "
"AA6221","all","s,m,l,xl"," $21,20 "," $16,95 "," $16,90 "," $16,85 "
"AA7004","all","s,m,l,xl"," $23,15 "," $17,50 "," $17,45 "," $17,40 "
"AA9007","all","s,m,l,xl"," $31,45 "," $26,40 "," $26,25 "," $26,15 "
"AA9020","all","s,m,l,xl"," $29,05 "," $23,85 "," $23,65 "," $23,20 "
